"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"augustus_masked-NW_015503979.1-processed-gene-10.4",427.109243600047,8.73846131124258,0.0746705998404786,117.026799435264,0,0
"augustus_masked-NW_015503979.1-processed-gene-16.0",3659.19937664065,11.8373123097554,0.063837740738842,185.428120932122,0,0
"augustus_masked-NW_015503979.1-processed-gene-16.1",265.661257530806,8.05344403881664,0.137923590421567,58.3906205907276,0,0
"augustus_masked-NW_015503979.1-processed-gene-16.2",154.192896497496,7.26859249313472,0.121596235147071,59.7764600552256,0,0
"augustus_masked-NW_015503979.1-processed-gene-20.0",205.713488185171,7.68449258110908,0.133558848647249,57.5363793484408,0,0
"augustus_masked-NW_015503979.1-processed-gene-25.13",3370.56808426739,11.7187760521182,0.0798641265150877,146.733916258438,0,0
"augustus_masked-NW_015503979.1-processed-gene-29.0",356.87533353947,8.47927637860891,0.122862737801633,69.0142229477181,0,0
"augustus_masked-NW_015503979.1-processed-gene-29.1",237.086912418839,7.8892722156922,0.151369870119999,52.1191714668047,0,0
"augustus_masked-NW_015503979.1-processed-gene-38.0",339.315674337841,8.40648426517335,0.130099968813766,64.6155747908517,0,0
"augustus_masked-NW_015503979.1-processed-gene-39.0",41.9722614988722,5.39136429376306,0.138255361654081,38.9956977383084,0,0
"augustus_masked-NW_015503979.1-processed-gene-44.0",2167.84092417556,11.0820431805037,0.10720265246834,103.374710656311,0,0
"augustus_masked-NW_015503979.1-processed-gene-7.0",376.816352064593,8.55771776229076,0.0753959933228928,113.503614517568,0,0
"augustus_masked-NW_015503979.1-processed-gene-7.1",837.067735875692,9.70920056076777,0.0636923836188429,152.438957519175,0,0
"augustus_masked-NW_015503979.1-processed-gene-9.0",999.960750893323,9.96572765905927,0.0682867304943895,145.939446608563,0,0
"maker-NW_015503979.1-augustus-gene-10.0",229.117327018551,7.8399427564858,0.141182063965835,55.5307277444465,0,0
"maker-NW_015503979.1-augustus-gene-12.0",1644.28209727174,10.6832421173932,0.0804093120261295,132.860757643612,0,0
"maker-NW_015503979.1-augustus-gene-12.11",473.504914364415,8.88723558884194,0.0820198377188715,108.354708275619,0,0
"maker-NW_015503979.1-augustus-gene-12.13",534.197175378555,9.06122853737237,0.102283612490505,88.5892501911143,0,0
"maker-NW_015503979.1-augustus-gene-12.2",1028.34695612091,10.0061113852099,0.117757390724539,84.9722579928456,0,0
