"","Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","sel4_SRR1719013_htseq_counted","sel4_SRR1719014_htseq_counted","sel4_SRR1719015_htseq_counted","sel4_SRR1719016_htseq_counted","sel4_SRR1719017_htseq_counted","sel4_SRR1719018_htseq_counted","sel4_SRR1719204_htseq_counted","sel4_SRR1719206_htseq_counted","sel4_SRR1719207_htseq_counted","sel4_SRR1719208_htseq_counted","sel4_SRR1719209_htseq_counted","sel4_SRR1719211_htseq_counted","sel4_SRR1719212_htseq_counted","sel4_SRR1719213_htseq_counted","sel4_SRR1719214_htseq_counted","sel4_SRR1719241_htseq_counted","sel4_SRR1719242_htseq_counted","sel4_SRR1719266_htseq_counted"
"1","augustus_masked-NW_015503979.1-processed-gene-10.4",427.109243600047,8.73846131124258,0.0746705998404786,117.026799435264,0,0,445.576859037722,536.03544659146,392.828779588689,509.24809466784,562.076197870757,653.273459476506,404.270918664419,427.787601051288,496.503017333353,356.743836222674,369.025347347591,419.972975220243,420.51438551795,373.671045743829,323.631218897504,374.881112695166,305.34466848338,316.581420390466
"2","augustus_masked-NW_015503979.1-processed-gene-16.0",3659.19937664065,11.8373123097554,0.063837740738842,185.428120932122,0,0,3891.53953658158,3726.9322836934,3509.45616563985,3567.52961383393,3802.88621044125,3977.60506861115,4631.12445045941,4821.00381286027,4099.49075181245,2843.10741208465,4120.55609252329,3358.73386932389,4104.0660854495,3567.66879388751,3739.0552226068,2525.11383632476,3173.40351888084,2406.3160545172
"3","augustus_masked-NW_015503979.1-processed-gene-16.1",265.661257530806,8.05344403881664,0.137923590421567,58.3906205907276,0,0,241.091161688966,145.290921868733,210.808824980219,188.058711376423,216.359269648825,350.135775043163,151.337019290607,181.945106269915,139.802091837135,568.187751309061,212.42787522592,262.483109512652,183.637474776646,342.936197825505,558.859610780251,330.687810792077,260.046283598483,237.807639729927
"4","augustus_masked-NW_015503979.1-processed-gene-16.2",154.192896497496,7.26859249313472,0.121596235147071,59.7764600552256,0,0,151.470886925005,168.405386711485,102.154056157815,138.716574233104,149.963303301566,100.262593300951,95.2470750780044,98.0120959370672,83.2644811677052,157.227526602698,119.831109101801,276.13223120731,154.31720569466,131.027509546537,182.186695673892,284.970601926813,145.96146240689,236.321341981615
"5","augustus_masked-NW_015503979.1-processed-gene-20.0",205.713488185171,7.68449258110908,0.133558848647249,57.5363793484408,0,0,200.698925175631,145.290921868733,301.818802284454,220.643141565408,145.384271139687,432.382433610349,206.36866266901,106.676148616587,125.410700030371,292.768497811921,152.512320675019,179.538446906654,277.770970250389,164.997604614158,234.459671647836,77.719255070949,260.046283598483,178.355729797445
"6","augustus_masked-NW_015503979.1-processed-gene-25.13",3370.56808426739,11.7187760521182,0.0798641265150877,146.733916258438,0,0,3690.84061140595,3492.48556885976,2465.62744635454,3765.82914612689,3568.21081214491,2349.12122898086,2972.76704326794,3428.25734462747,2480.45917355151,2662.02467454913,3777.40337100449,3467.92684288115,2480.64908154167,3251.4233850437,3772.11019270797,3978.92107824016,3052.60782585445,6013.56068967053
"7","augustus_masked-NW_015503979.1-processed-gene-29.0",356.87533353947,8.47927637860891,0.122862737801633,69.0142229477181,0,0,326.924664279802,299.387354153752,185.734647559664,429.183494774907,372.046363152741,255.356292313358,261.400306047412,274.000665989812,201.479485294694,508.549723977003,657.70938291102,363.27662356551,285.486830535122,690.725266374956,342.849224770278,434.313484220009,217.264475651636,318.067718138778
"8","augustus_masked-NW_015503979.1-processed-gene-29.1",237.086912418839,7.8892722156922,0.151369870119999,52.1191714668047,0,0,146.421857360838,130.981967442266,78.0085519750589,190.851662535479,141.949997018277,117.495226524551,202.135459332209,214.976807110584,313.526750075927,262.407320261055,351.323024412098,472.469597122773,199.840781374585,274.996007690264,179.111814734248,362.689856997762,179.515821580888,448.861919990238
"9","augustus_masked-NW_015503979.1-processed-gene-38.0",339.315674337841,8.40648426517335,0.130099968813766,64.6155747908517,0,0,314.302090369385,336.810773422971,431.833055576219,301.638725178026,455.613700107049,806.017253958422,334.423063607215,260.463083678063,465.664320604574,214.696898395409,253.279389692443,198.437230791565,397.366804663751,280.657690201534,252.908957285698,134.103812671441,409.363181922773,260.102105954608
"10","augustus_masked-NW_015503979.1-processed-gene-39.0",41.9722614988722,5.39136429376306,0.138255361654081,38.9956977383084,0,0,32.8186921670844,36.3227304671831,47.3623351277143,38.1703325070958,20.6056447284595,74.4136434655492,24.3409191866011,34.656210718079,62.7053500151854,29.2768497811921,17.7023229354933,36.7476353317712,58.640538163971,49.3375190267826,33.0549701011703,65.5279993735453,53.6869746783965,40.1300392044252
"11","augustus_masked-NW_015503979.1-processed-gene-44.0",2167.84092417556,11.0820431805037,0.10720265246834,103.374710656311,0,0,2275.8500760482,2117.72525511698,1717.11681668909,3168.13759808895,3142.36082109008,2731.37236594074,2538.86370124592,1694.90530543105,1903.77554472333,1871.54973045695,2118.83188366366,1163.32514136007,3981.38390692224,2491.94911674618,1344.49169085923,1670.20203054432,1778.38103622188,1310.91461401122
"12","augustus_masked-NW_015503979.1-processed-gene-7.0",376.816352064593,8.55771776229076,0.0753959933228928,113.503614517568,0,0,398.873335569179,297.18597654968,235.883002400773,469.215794721373,409.82337848825,390.084152061511,372.521893638417,554.499371489264,451.27292879781,350.237869604631,340.429287221025,262.483109512652,434.402934030469,414.920446897368,368.98571275725,280.398881040287,405.168887026023,346.307375356707
